name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
PREDNISONA,5 mg/ 5 mL,Solución Oral,SOLUCION,Frasco x 60 mL
PREDNISONA,20 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PREDNISONA,5 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PREDNISONA,50 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PREDNISONA,20 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
PREDNISONA,5 mg/ 5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL
PREDNISONA,50 mg,Comprimido,TABLETA,Caja Envase Blister Comprimidos
PREDNISONA,50 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
PREDNISONA,5 mg/ 5 mL,Solución Oral,SOLUCION,Caja Frasco x 120 mL
PREDOMIN®,10 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
PREDSO,1 %,Suspensión Oftálmica,SUSPENSION OFTALMICA,Caja Frasco gotero x 5 mL
PREDSO,1 %,Suspensión Oftálmica,SUSPENSION OFTALMICA,Frasco X 5 mL
PREDTABS,20 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PREFOX T,,Suspensión Oftálmica,SUSPENSION OFTALMICA,Caja Frasco x 5 mL
PREGABALINA,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGABALINA,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGABALINA,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREGADOL®,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
PREGADOL®,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
PREGALAB,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREGALAB,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
PREGALEX,150 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
PREGALEX,75 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
PREGALIP 150,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREGALIP 75,75 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREGALIPTIN-150,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGALIPTIN-75,75 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
PREGAPHARM,75 mg,Capsula dura,CAPSULA,Caja Envase Blíster Cápsula Dura
PREGASEV 150,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGASEV 75,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGAVITAE,75 mg,Cápsula,CAPSULA,Caja Envase Blister Capsula
PREGAVITAE,150 mg,Cápsula,CAPSULA,Caja Envase Blister Capsula
PREGLIM,2 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PREGLIM,4 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PREGNON 1.5,1.5 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PREGNON 1.5,1.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PREGOBIN,150 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGOBIN,75 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREGOBIN,150 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREGOBIN,75 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsula
PREMEDIC,50 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PREMEDIC,50 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
PREMEDIC,50 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PRENHIXIN,20 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PRENHIXIN,50 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PRENIXIN,50 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PRENIXIN,50 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PRENIXIN,20 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PRESICAPTIL,25 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PRESICAPTIL,25 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PRESS 81,81 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas de Liberación Retardada
PRESSALIV,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
PRESSALIV,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PRESSALIV,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRESSIMORIN PD,50 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PRESSIMORIN-PD,50 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
PRESSIX,80 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PRESSIX,160 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PRESSIX,80 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRESTAT,75 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
PRESTAT,150 mg,Comprimido,TABLETA,Caja Envase Blíster Comprimidos
PRETERAX,10 mg + 2.5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Tubo Comprimidos Recubiertos con Película
PRETERAX,5 mg + 1.25 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Tubo Comprimidos Recubiertos con Película
PRETERAX,2.5 mg + 0.625 mg,Comprimido Recubierto,TABLETA,Caja Tubo Comprimidos Recubiertos
PRETERAX,10 mg + 2.5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Envase Blíster Comprimido Recubierto con Película
PREVENAR 13 VALENTE,,Suspensión Inyectable,INYECTABLE,Jeringa Prellenada x 0.5 mL
PREVENIL 10,10 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubierto
PREVENIL 5,5 mg,Comprimido Masticable,TABLETA,Caja Envase Blíster Comprimidos Masticable
PREVICIL,200 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREVICIL,200 mg,Cápsula,CAPSULA,Caja Envase Blister Tabletas
PREVICIL,200 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
PREVITA,,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PREVYMIS,240 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PREVYMIS,240 mg/ 12 mL,Concentrado para Solución para Perfusión,INYECTABLE,Caja Vial x 12 mL
PREXANDOL,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PREXICORTEN,50 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PREXICORTEN,20 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PREXINOL,500 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
PREZISTA,600 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Frasco x 60 Comprimidos Recubiertos con Película
PRIDEMIN,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRIMALGEZE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
PRIMALGEZE®,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PRIMAQUINA,7.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRIMAQUINA,15 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PRIMOFLOX,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
PRIMORIX,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas
PRIMORIX,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
PRIMORIX,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubierto Recubiertos
PRIMOSAL,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
PRIMPEMOTIL,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PRIPAX,150 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
PRIPAX,75 mg,Cápsula,CAPSULA,Caja Envase Blister Capsulas
PRISTIQ,50 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRISTIQ,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas
PRISTIQ,100 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tableta de Liberación Prolongada
PRISTIQ®,50 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tableta de Liberación Prolongada
PRIVET,40 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PRIVIGEN,10 %,Solución Inyectable,INYECTABLE,Caja Frasco X 50 mL
PRIVIGEN,10 %,Solución Inyectable,INYECTABLE,Caja Vial x 50 mL
PRIVIGEN,10 %,Solución,SOLUCION,Caja Frasco X 50 mL
PROBERTAN,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROBERTAN,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROBERTAN HCT,300 mg + 12.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROBERTAN HCT,150 mg + 12.5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROCILEV 25,25 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
PROCINOX,25 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROCOPS 100,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos Recubiertos
PROCOPS 50,50 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
PROCORALAN,7.5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Envase Blister Comprimidos Recubiertos
PROCORALAN,5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Envase Blister Comprimidos Recubiertos
PROCORALAN,7.5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Envase Blíster Comprimido Recubierto Con Pelicula
PROCORALAN,5 mg,COMPRIMIDO RECUBIERTO CON PELICULA,TABLETA,Caja Envase Blíster Comprimido Recubierto Con Pelicula
PROCTHYL,5% + 1%,Ungüento,UNGUENTO,Caja Tubo x 20 g
PROCTHYL,5 % + 1 %,Ungüento,UNGUENTO,Caja Tubo x 20 g
PROCTOGEL,5 % + 2 %,CREMA RECTAL,CREMA,Caja Tubo x 30 g
PROCTOGEL,,Crema,CREMA,Caja Tubo x 30 g
PROCTUS,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PROCTUS®,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PRODERMIC,0.1 %,Ungüento,UNGUENTO,Tubo x 10 g
PRODERMIC,0.1 %,Ungüento,UNGUENTO,Caja Tubo x 10 g
PRODIAX 23,25 mcg/0.5 mL,Solución Inyectable,INYECTABLE,Caja Jeringa prellenada x 0.5mL + Aguja 25 G x 1¨
PRODIAX 23,25 mcg/0.5 mL,Solución Inyectable,INYECTABLE,Caja Vial
PRODIAX 23,25 mcg/0.5 mL,Solución Inyectable,INYECTABLE,Caja Vial x 0.5 mL
PROFEKET,2.5%,Gel,JALEA,Caja Tubo x 30 g
PROFEKET®,100 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
PROFEKET®,100 mg /2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
PROFEL,15 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
PROFEN KIDS,100 mg,Tableta Masticable,TABLETA,Caja Envase Blister Tabletas
PROFEN KIDS,100 mg/5 mL,Suspensión Oral,SUSPENSION,Frasco X 60 mL
PROFENAX,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROFENID,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
PROFENID,100 mg/2 mL,Polvo para Solución Inyectable,INYECTABLE,Caja Vial + Ampolla x 5 mL (Disolvente)
PROFENID,100 mg/2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
PROFENID,100 mg,Polvo para Solución Inyectable,INYECTABLE,Caja Ampolla + Ampolla X 5 mL
PROFENID,2.5 %,Gel,JALEA,Tubo X 30 g
PROFLOX-CL,500 mg + 125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PROFOLIC®,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PROGENDO,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blíster Cápsula Blanda
PROGESTOGEL 1% GEL,1 %,Gel,JALEA,Caja X 1 Tubo X 80 g
PROGEVA,200 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsula Blanda
PROGYNOVA,2 mg,Grageas,TABLETA,Caja Envase Blister Grageas
PROLEXA,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PROLIA,60 mg/mL,Solución Inyectable,INYECTABLE,Caja Jeringa Prellenada x 1 mL
PROLIX,300 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROLONG 1000 NF,9.6 %,Solución Tópica,SOLUCION,Caja Frasco x 10g
PROLONGIN,40 mg/0.4 mL,Solución Inyectable,INYECTABLE,Jeringa Prellenada x 0.4 mL
PROLONGIN,80 mg/0.8 mL,Solución Inyectable,INYECTABLE,Caja Jeringa Prellenada x 0.8 mL
PROLONGIN,80 mg/ 0.8 mL,Solución Inyectable,INYECTABLE,Caja Jeringa Prellenada x 0.8 mL
PROLONGIN,40 mg/ 0.4 mL,Solución Inyectable,INYECTABLE,Jeringa Prellenada x 0.4 mL
PROMALGEN N,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROMAXEN,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROMELAC,0.5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROMESTINE,1%,Crema Vaginal,CREMA,Caja Tubo x 15 g
PROMIZEM 550,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PRONADOL,120 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 100 mL
PRONADOL,100 mg/mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 20 mL
PRONILON,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
PRONILON,400 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PRONTEL,100 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco Gotero x 20 mL
PRONTOFORT,100 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
PROPAFENONA,150 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PROPECIA,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PROPECIA,1 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROPEXOL,10 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROPOFOL,2 %,Emulsión Inyectable,INYECTABLE,Caja Vial X 50 mL
PROPOFOL,10 mg/ mL,Emulsión Inyectable,INYECTABLE,Caja Ampolla x 20 mL
PROPOFOL,2 %,Emulsión Inyectable,INYECTABLE,Caja Vial
PROPOFOL,200 mg/ 20 mL (10 mg/ mL),Emulsión Inyectable,INYECTABLE,Caja Vial x 20 mL
PROPOFOL 1 %,10 mg/ mL,EMULSION INYECTABLE Y PARA PERFUSION,EMULSION,Caja Vial x 20 mL
PROPOVAN,10 mg/mL,Emulsión Inyectable,INYECTABLE,Caja Ampolla x 20 mL
PROPRANOLOL,40 mg,Tableta,TABLETA,Caja Envase Blíster Tabletas
PROPRANOLOL,40 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROQUAD,,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + Solvente x 0.7 mL
PROSAFE,1 % P/V,Emulsión Inyectable,INYECTABLE,Caja Vial x 20 mL
PROSTADEL LP,0.4 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsula de Liberación Prolongada
PROSTADEL LP,0.4 mg,Cápsula de Liberación Prolongada,CAPSULA,Caja Envase Blister Cápsulas
PROSTASIL,0.5 mg,Cápsula Blanda,CAPSULA,Caja Envase Blister Cápsulas
PROSTASIL PLUS,0.5 mg + 0.4 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PROSTERIDE,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PROSTEZOSIN,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROSTEZOSIN,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PROSTEZOSIN,5 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
PROSTIGMINE,0.5 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 1 mL
PROTAMIN,50 mg/ 5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5 mL
PROTAXAT,50 mg /5 mL,Solución Inyectable,INYECTABLE,Caja Ampollas x 5 mL
PROTAXAT,50 mg/5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 5mL
PROTIUM,20 mg,Tableta Recubierta de Liberación Retardada,TABLETA,Caja Envase Folio Tableta Recubierta de Liberación Retardada
PROTIUM,40 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Blister Tabletas
PROTIUM,20 mg,Tableta de Liberación Retardada,TABLETA,Caja Envase Folio Tabletas
PROVERA,5 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
PROVERA,5 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PROVITA C,10 g / 20 mL,Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
PROXACIN,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PROXACIN,500 mg,Cápsula,CAPSULA,Caja Envase Folio Cápsulas
PROXIDOL,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PROXIDOL,275 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Cápsulas
PROXIDOL,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Cápsulas
PROXI-UP 10,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
PROXTEN PLUS,1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
PROZAC,20 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PULMICORT,0.5 mg/ mL,Suspensión para Nebulización,AEROSOL,Caja Sobre Ampollas Monodosis
PULMOFIRST,125 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
PULMOL COMPUESTO,,Jarabe,SOLUCION,Caja Frasco x 120 mL
PULMOL COMPUESTO,,Jarabe,SOLUCION,Frasco x 120 mL
PULMOZYNE,"2,5 mg/ 2,5 mL",Solución para Inhalación,AEROSOL,Caja Sobre Ampolla x 2.5 mL
PUNTUAL,0.15 mg + 0.03 mg,Tableta Recubierta,TABLETA,caja Envase Blíster Tabletas Recubiertas
PUNTUAL® 28,0.15 mg + 0.03 mg + 75 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
PUREGON,600 UI/0.72 mL,Solución Inyectable,INYECTABLE,Caja Cartucho x 0.78 mL + Accesorios
PUREGON,100 UI,Solución Inyectable,INYECTABLE,Caja Ampolla x 0.5 mL
PUREGON,50 UI/0.5 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 0.5 mL
PYRIDIUM,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
PYRIDIUM,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
PYRIDIUM COMPLEX,400 mg + 50 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
PYRIDIUM COMPLEX,400 mg + 50 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
PYRIDOS,60 mg,Tableta,TABLETA,Caja Envase Blister Tableta
PYRIMEDIC,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
QADERM,1.00 g + 0.1 g + 0.05 g,Crema,CREMA,Caja Tubo x 20 g
QLAIRA,,Comprimido Recubierto,TABLETA,Estuche Blister Comprimidos
Q-PIN 100,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
Q-PIN 200,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
Q-PIN 25,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
Q-PIN300,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUADRIDERM EXTRA,0.05 g + 1 g + 0.1 g,Crema,CREMA,Caja Tubo x 10 g
QUADRIDERM EXTRA,,Crema,CREMA,Caja Tubo x 10 g
QUADRIDERM EXTRA SP,,Crema,CREMA,Caja Tubo X 10 g
QUALITEARS PLUS,,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco Gotero x 5 mL
QUALITEARS PLUS,,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco x 15 mL
QUANOX,6 mg/mL,Solución Oral,SOLUCION,Frasco x 5 mL
QUANTRUM,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUANTRUM,750 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUEEN CETINA FORTE,500 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
QUEMACURAN,1 %,Crema,CREMA,Caja Tubo x 20 g
QUENALMED,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
QUEROX,200 mg,Tableta Recubierta,TABLETA,Caja Envase Folio Tableta Recubierta
QUETIANAR,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUETIANAR,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
QUETIANAR,300 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blíster Tabletas Recubiertas de Liberación Prolongada
QUETIAPINA,25 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUETIAPINA,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUETIAPINA,100 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUETIAPINA,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUETIAPINA,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Bíister Comprimidos Recubiertos
QUETIAPINA,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
QUETIAPINA,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
QUETIAPINA,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
QUETIAPINA,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAPINA,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAPINA,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAPINA,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
QUETIAZIC,300 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
QUETIAZIC,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
QUETIAZIC,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
QUETIAZIC,300 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimido Recubierto
QUETIAZIC XR,50 mg,Comprimido recubierto de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC XR,200 mg,Comprimido recubierto de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC XR,300 mg,Comprimido recubierto de liberación prolongada,TABLETA,Caja Envase Blíster Comprimidos
QUETIAZIC®,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIDIN,300 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIDIN,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos
QUETIDIN,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
QUETIOQUEL,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubiera
QUETIVITAE,25 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
QUETIVITAE,100 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
QUETIVITAE,200 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimido Recubierto
QUETOROL 60,60 mg/ 2 mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 2 mL
QUEVRADA,4 mg,Tableta,TABLETA,Caja Envase Blíster Tableta
QUEXEL,850 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
QUIBAC,200 mg + 40 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco X 60 mL
QUIBAC BALSAMICO,200 mg + 40 mg + 50 mg/5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 100 mL + Accesorio
QUIBAC FORTE,800 mg + 160 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
QUIHON-CL,1%,Crema,CREMA,Tubo x 20 g
QUILLACORT,4 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
QUILLACORT,4 mg,Tableta,TABLETA,Caja Envase Blister Tableta
QUILLAPRED,20 mg,Tableta,TABLETA,Caja Envase Blister Tabletas
QUILXIB,200 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsulas
QUILXIB,200 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
QUIMIZOL,150 mg + 100 mg,Ovulo,OVULO,Caja Envase Tira Óvulo
QUIMIZOL,150 mg + 100 mg,Ovulo,OVULO,Caja Envase Blister Ovulos
QUIMIZOL,,Crema Vaginal,CREMA,Caja Tubo x 60 g + Accesorios
QUIMOFLAM,15 mg,Tableta,TABLETA,Caja Envase Folio Tabletas
QUINAMED,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
QUINAXINE,20 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta
QUINOBACT,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUINOBIOTIC,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
QUINOCIP,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
QUINOFLOX FORTE,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
QUINOFLOX FORTE,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
QUINOLIBAK,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubierta
QUITALER,5 mg,Comprimido Recubierto,TABLETA,Caja Envase Blíster Comprimidos Recubiertos
